Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-3-13;14:39:4;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:4;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:5;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:5;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:6;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:6;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:7;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:7;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:8;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:8;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:9;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:9;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:10;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:10;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:11;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:11;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:12;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:12;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:13;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:13;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:14;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:14;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:15;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:15;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:16;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:16;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:17;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:17;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-13;14:39:18;50,96;0,06;6,0;36,0;3,427;3,300;0,127;0,098;
2020-3-13;14:39:18;50,96;0,06;6,0;36,0;3,426;3,300;0,126;0,098;
