Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
2020-8-4;
