Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-3-14;2:42:12;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:13;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:13;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:14;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:14;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:15;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:15;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:16;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:16;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:17;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:17;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:18;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:18;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:19;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:19;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:20;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:20;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:21;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:21;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:22;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:22;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:23;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:23;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:24;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:24;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:25;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:25;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:26;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:26;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:27;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:27;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:28;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:28;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:29;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:29;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:30;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:30;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:31;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:31;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:32;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:32;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:33;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:33;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:34;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:34;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:35;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:35;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:36;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:36;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:37;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:37;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:38;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:38;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:39;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:39;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:40;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:40;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:41;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:41;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:42;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:42;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:43;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:43;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:44;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:44;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:45;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:45;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:46;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:46;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:47;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:47;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:48;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:48;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:49;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:49;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:50;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:50;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:51;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:51;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:52;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:52;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:53;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:53;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:54;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:54;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:55;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:55;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:56;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:56;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:57;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:57;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:58;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:58;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:59;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:42:59;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:0;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:0;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:1;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:1;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:2;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:2;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:3;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:3;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:4;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:4;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:5;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:5;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:6;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:6;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:7;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:7;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:8;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:8;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-3-14;2:43:9;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
